Country,Country_Code,Unit,Electricity_2006,Electricity_2014
France,FRA,"Kilowatt-hours, million",143327,149426
Italy,ITA,"Kilowatt-hours, million",67635,64255
Canada,CAN,"Kilowatt-hours, million",147320,161568
China,CHN,"Kilowatt-hours, million",335158,717610
India,IND,"Kilowatt-hours, million",111001,217405
Japan,JPN,"Kilowatt-hours, million",279594,273938
United Kingdom,GBR,"Kilowatt-hours, million",124704,108881
United States,USA,"Kilowatt-hours, million",1351521,1416977
Mexico,MEX,"Kilowatt-hours, million",42531,53914
Argentina,AGR,"Kilowatt-hours, million",26503,43880
Malaysia,MAL,"Kilowatt-hours, million",17143,27266
Turkey,TUR,"Kilowatt-hours, million",34466,46190
Thailand,THA,"Kilowatt-hours, million",27005,38993
